# Copyright (C) 1991-2009 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 9.0 Build 132 02/25/2009 SJ Web Edition
# File: C:\Users\ea924\Downloads\VGA_640x480_m4k\VGA_m4k\DE2_70_TOP.csv
# Generated on: Mon Jul 06 19:50:53 2020

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Group,Current Strength,PCB layer
AUD_ADCDAT,Input,PIN_E19,4,B4_N2,,,,,
AUD_ADCLRCK,Bidir,PIN_F19,4,B4_N2,,,,,
AUD_BCLK,Bidir,PIN_E17,4,B4_N3,,,,,
AUD_DACDAT,Output,PIN_F18,4,B4_N2,,,,,
AUD_DACLRCK,Bidir,PIN_G18,4,B4_N2,,,,,
AUD_XCK,Output,PIN_D17,4,B4_N3,,,,,
CLOCK_28,Input,PIN_E16,4,B4_N3,,,,,
CLOCK_50,Input,PIN_AD15,7,B7_N3,,,,,
EXT_CLOCK,Input,PIN_R29,5,B5_N3,,,,,
KEY[3],Input,PIN_U29,6,B6_N0,,,KEY[3..0],,
KEY[2],Input,PIN_U30,6,B6_N0,,,KEY[3..0],,
KEY[1],Input,PIN_T28,6,B6_N0,,,KEY[3..0],,
KEY[0],Input,PIN_T29,6,B6_N0,,,KEY[3..0],,
LEDG[8],Output,PIN_AC14,8,B8_N0,,,LEDG[8..0],,
LEDG[7],Output,PIN_AA24,6,B6_N2,,,LEDG[8..0],,
LEDG[6],Output,PIN_AA27,6,B6_N1,,,LEDG[8..0],,
LEDG[5],Output,PIN_Y23,6,B6_N2,,,LEDG[8..0],,
LEDG[4],Output,PIN_Y24,6,B6_N2,,,LEDG[8..0],,
LEDG[3],Output,PIN_Y27,6,B6_N1,,,LEDG[8..0],,
LEDG[2],Output,PIN_W23,6,B6_N1,,,LEDG[8..0],,
LEDG[1],Output,PIN_W25,6,B6_N1,,,LEDG[8..0],,
LEDG[0],Output,PIN_W27,6,B6_N1,,,LEDG[8..0],,
LEDR[17],Output,PIN_AJ7,8,B8_N2,,,LEDR[17..0],,
LEDR[16],Output,PIN_AD8,8,B8_N3,,,LEDR[17..0],,
LEDR[15],Output,PIN_AD9,8,B8_N2,,,LEDR[17..0],,
LEDR[14],Output,PIN_AC11,8,B8_N2,,,LEDR[17..0],,
LEDR[13],Output,PIN_AB12,8,B8_N1,,,LEDR[17..0],,
LEDR[12],Output,PIN_AC12,8,B8_N2,,,LEDR[17..0],,
LEDR[11],Output,PIN_AB13,8,B8_N0,,,LEDR[17..0],,
LEDR[10],Output,PIN_AC13,8,B8_N1,,,LEDR[17..0],,
LEDR[9],Output,PIN_AD14,8,B8_N0,,,LEDR[17..0],,
LEDR[8],Output,PIN_AH3,8,B8_N3,,,LEDR[17..0],,
LEDR[7],Output,PIN_AJ2,8,B8_N3,,,LEDR[17..0],,
LEDR[6],Output,PIN_AJ3,8,B8_N3,,,LEDR[17..0],,
LEDR[5],Output,PIN_AH4,8,B8_N3,,,LEDR[17..0],,
LEDR[4],Output,PIN_AK3,8,B8_N3,,,LEDR[17..0],,
LEDR[3],Output,PIN_AJ4,8,B8_N3,,,LEDR[17..0],,
LEDR[2],Output,PIN_AJ5,8,B8_N3,,,LEDR[17..0],,
LEDR[1],Output,PIN_AK5,8,B8_N3,,,LEDR[17..0],,
LEDR[0],Output,PIN_AJ6,8,B8_N2,,,LEDR[17..0],,
SW[17],Input,PIN_L8,2,B2_N1,,,SW[17..0],,
SW[16],Input,PIN_L7,2,B2_N1,,,SW[17..0],,
SW[15],Input,PIN_L4,2,B2_N2,,,SW[17..0],,
SW[14],Input,PIN_L5,2,B2_N1,,,SW[17..0],,
SW[13],Input,PIN_T9,1,B1_N0,,,SW[17..0],,
SW[12],Input,PIN_U9,1,B1_N0,,,SW[17..0],,
SW[11],Input,PIN_V10,1,B1_N1,,,SW[17..0],,
SW[10],Input,PIN_W5,1,B1_N1,,,SW[17..0],,
SW[9],Input,PIN_AE27,6,B6_N2,,,SW[17..0],,
SW[8],Input,PIN_AD24,6,B6_N3,,,SW[17..0],,
SW[7],Input,PIN_AD25,6,B6_N3,,,SW[17..0],,
SW[6],Input,PIN_AC23,6,B6_N3,,,SW[17..0],,
SW[5],Input,PIN_AC24,6,B6_N3,,,SW[17..0],,
SW[4],Input,PIN_AC26,6,B6_N3,,,SW[17..0],,
SW[3],Input,PIN_AC27,6,B6_N2,,,SW[17..0],,
SW[2],Input,PIN_AB25,6,B6_N2,,,SW[17..0],,
SW[1],Input,PIN_AB26,6,B6_N2,,,SW[17..0],,
SW[0],Input,PIN_AA23,6,B6_N2,,,SW[17..0],,
VGA_B[9],Output,PIN_D19,4,B4_N2,,,VGA_B[9..0],,
VGA_B[8],Output,PIN_C19,4,B4_N2,,,VGA_B[9..0],,
VGA_B[7],Output,PIN_A19,4,B4_N2,,,VGA_B[9..0],,
VGA_B[6],Output,PIN_B19,4,B4_N2,,,VGA_B[9..0],,
VGA_B[5],Output,PIN_B18,4,B4_N2,,,VGA_B[9..0],,
VGA_B[4],Output,PIN_C18,4,B4_N2,,,VGA_B[9..0],,
VGA_B[3],Output,PIN_B17,4,B4_N3,,,VGA_B[9..0],,
VGA_B[2],Output,PIN_A17,4,B4_N3,,,VGA_B[9..0],,
VGA_B[1],Output,PIN_C16,4,B4_N3,,,VGA_B[9..0],,
VGA_B[0],Output,PIN_B16,4,B4_N3,,,VGA_B[9..0],,
VGA_BLANK,Output,PIN_C15,3,B3_N0,,,,,
